"report-file-0"
"Iteration" "mass_in etc.."
("Iteration" "mass_in" "mass-balance" "pressure_min")
420 0.3448219768725081 0.4309854513661991 -26040.28561970462
421 0.3448202104059049 0.4348782913260565 -25399.35751613896
422 0.3448185464974992 0.4389021560834189 -24604.04886910249
423 0.3448169875375642 0.4430586679139105 -23791.1157689736
424 0.344815534833141 0.4473488947124273 -23096.25839967192
425 0.3448141868994118 0.4517725564619968 -22158.42251539003
426 0.344812948810988 0.4563280855422508 -21459.22985288476
427 0.3448118182379931 0.4610121052563129 -20802.64197850828
428 0.3448107994896474 0.4658194449183254 -19960.53594198097
429 0.3448098900892811 0.4707429976152673 -19268.0482992425
430 0.3448090872967299 0.475773639772644 -18607.55626401256
431 0.3448083880681836 0.4809001620630428 -17739.30441365063
432 0.344807791717981 0.4861094819384636 -17073.52766097102
433 0.3448072945714475 0.4913865275766098 -16421.89522735136
434 0.3448068924694394 0.4967144107785443 -15525.86611192852
435 0.3448065804073338 0.5020743956153224 -14890.43617545241
436 0.3448063564973333 0.5074459909794522 -14227.39611416828
437 0.3448062186879183 0.5128070669243713 -13410.175257406
438 0.3448061616139 0.5181340926828331 -12796.02765800562
439 0.3448061785733215 0.5234019222083938 -12178.88392512698
440 0.3448062676505513 0.5285840289453745 -11336.12934798422
441 0.3448064222772794 0.533652522702046 -10709.33419987074
442 0.344806614921587 0.5385788658078937 -10030.76720394837
443 0.3448068760528051 0.5433338273759466 -9213.660904988494
444 0.3448072274936181 0.5478873650168132 -8591.015577403281
445 0.3448075620160386 0.5522090083865535 -7992.776983669739
446 0.3448079332801784 0.5562678036891349 -7373.992156933773
447 0.3448083481774669 0.5600327482613173 -6699.938816000036
448 0.3448087996549 0.5634727071607566 -6103.995493365684
449 0.3448092823112726 0.5665570003542132 -5403.872212396174
450 0.3448097924180395 0.5692542524555891 -4689.785516243597
451 0.3448103278475831 0.571534226765287 -4167.08929800897
452 0.3448108819225406 0.5733679695109656 -3531.155914558558
453 0.3448114489840161 0.5747242543921131 -2822.327253159907
454 0.3448120235420961 0.5755728414891605 -2327.276119220936
455 0.3448126040252648 0.5758884529463081 -1755.650118775632
456 0.3448131857005677 0.5756426987256988 -1084.885755593358
457 0.344813764851272 0.5748087213882962 -412.3398715452432
458 0.3448143380301322 0.5733645298253052 92.06891078514002
459 0.3448149016338008 0.5712792686797256 683.976474962817
460 0.3448154510512534 0.5685337242047224 1340.293677529212
461 0.3448159835961283 0.5651070858086815 1894.511707694525
462 0.3448165000380154 0.5609790659195717 2398.623407988651
463 0.3448169999383196 0.556133548274254 2972.045909171949
464 0.3448174804557164 0.5505529813705454 3626.387394695753
465 0.3448179386220802 0.5442288446574706 4127.251875814984
466 0.3448183714034012 0.5371500531548772 4628.470970890414
467 0.3448187812272963 0.5293088039356876 5213.270998411106
468 0.3448191663967343 0.5207007411259786 5876.091121351623
469 0.3448195252673986 0.511325041389513 6370.175802530481
470 0.344819856281057 0.5011818399967374 6852.553569566674
471 0.3448201615594331 0.4902763542878564 7399.308540614608
472 0.3448204404667412 0.4786150749212764 8020.136824890509
473 0.3448206925766735 0.4662060824404222 8475.673285375531
474 0.3448209180372874 0.4530571616616648 8946.546747274913
475 0.3448211169754435 0.43918334634203 9476.096706456006
476 0.3448212898717224 0.4245955204617936 10064.48065420539
477 0.34482143736007 0.4093006336700545 10565.55177631444
478 0.344821559938463 0.3933037423538563 11011.71969162651
479 0.3448216585301956 0.3766092169260527 11518.34249343619
